Name,PI,Researcher
Tim Schmidt-Eisenlohr,,"1298, 2407"
Joshua Linn,355,"305, 272"
Joost G Berman,,588
Jeffrey A Smith,,"2840, 2413"
Dominik Jurek,,2669
Leo Zucker,,2962
Julie Park,,665
William E Schmidt,,"2104, 1808, 2567"
Jason Greenberg,1182,
Yuxuan He,,"1667, 1694"
Nicole Jones,1899,
Christopher A Hollrah,,1743
Can Yesildere,,1684
Emanuele Colonnelli,,1151
Ying Shi,,2416
Jonas Nauerz,,1731
Audrey M Guo,1632,"2406, 1694"
Anna Malinovskaya,2494,"1942, 2816, 2323"
Adam Kolasinski,1467,2316
Austin Pennington,,1668
Christopher M Hassett,,1071
Adhitya Venkatraman,,2129
HaYoung Yoon,,2339
Yuting Wu,,"2347, 1684"
Jeremy Auerbach,,1070
Cuneyt Eroglu,1871,
Dustin Frye,,1092
Jason Owen-Smith,,815
Teng Sun,,"1057, 1195"
Erin Tanenbaum,,1809
Bryn Whitmire,,795
Ahmad M Riyadh,,2717
John I Iselin,,3018
Hyoseok Kang,1699,"1182, 1406"
Samuel Antill,2910,
Lala Ma,2377,
Peter J Klenow,,"2441, 1440"
Laura D Quinby,,2387
Robert T French,,"2358, 2733"
Ivo Welch,2299,
Zhongling Qin,,"2838, 1091"
Brittany Street,2947,2295
Jared Stanfield,,"1467, 2316"
Joseph Risi,,2829
Patrick A Adams,,1400
Samantha Gailey,,2934
Xiupeng Wang,2119,"828, 1571, 2735, 1473"
Patrick J Bayer,2568,"537, 83"
Chen Yeh,1808,"1675, 1014, 2095, 2567"
James R Wagner,2371,
Nico Nastri,,2387
Fabian P Eckert,,1286
Jonathan Halket,2280,
Jose I Velarde Morales,,1684
Jan Schlupp,,1298
Gorkem Bostanci,,2199
Kelly G Strada,2424,
Tania Babina,,"1589, 2090, 662, 881"
Claudia Goldin,,1571
Yilin Jiang,,"1353, 1109"
Ramana Nanda,,306
Michael A Schultz,,1806
Yerodin Bermiss,2932,
Stephen Redding,,1515
Abraham O Oshotse,,1182
Alexandria F Sowers,,2215
Nicolas Min,,2129
Desmond Toohey,,802
Morgan M Richey,,2359
Winnie van Dijk,,2476
Nilufer Gok,,2387
Jo-Yu Chin,,2817
Anson Soderbery,,1774
Julian J Katz-Samuels,,815
Harris R Eppsteiner,,"2590, 1527"
Heesun Jang,,"1119, 906"
Ariella A Kahn-Lang,,441
George D Haushalter,,760
Meghana Gaur,,1883
Wookun Kim,2501,
Yin Kwan Chung,,1112
Yao Liu,2154,
Filip F Babalievsky,,1917
Judson Caskey,2891,2299
Maria M Sviatschi,,1225
Richard Sander,1277,
Martin Ganco,,845
Michael Sykuta,2194,1227
Gary A Thompson,,406
Mathew V Kiang,3019,
